"Reference","Value","Footprint","Qty","DNP"
"C1","20nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","1",""
"C2,C5,C9","1uF","-- mixed values --","3",""
"C3","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","1",""
"C4","47nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","1",""
"C6","51pF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","1",""
"C7,C8","220nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","2",""
"D1,D2","D","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"D3","RED","LED_THT:LED_D5.0mm","1",""
"J1","INPUT","Connector_Audio:Jack_6.35mm_Neutrik_NRJ6HM-1-AU_Horizontal","1",""
"J2","OUTPUT","Connector_Audio:Jack_6.35mm_Neutrik_NRJ6HM-1-AU_Horizontal","1",""
"Q1","2N3904","Package_TO_SOT_THT:TO-92_Inline","1",""
"R1,R2,RV3","100K","-- mixed values --","3",""
"R3,R6,R9,R11,R13","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","5",""
"R4","510K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R5,R7,R10,RV2","10K","-- mixed values --","4",""
"R8","51K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R12","220R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"RV1","500K","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","1",""
"SW1","FootSwitch","Button_Switch_SMD:Nidec_Copal_CAS-120A","1",""
"U1","TL072","Package_DIP:DIP-8_W7.62mm","1",""
